Reviews,Sentiment
 আহারে ঠিক অামার জামাই টার মতোঠিক নাটকের অভিনয় টা মতো আমার  জামাই ঠিক এমন করছে শশুড় বাড়ীতে এসে ঠিক অামার জামাই চরিত্র মত নাটক টা হয়েছে ধন্যবাদ পরিচালক কে,positive
 আমার জীবনের দেখা সেরা নাটক তুমি আমারই,positive
"ওয়াও..!!! আমার দেখা সেরা একটি নাটক। ভিন্ন স্ক্রিপ্ট, সব নাটকে দেখা যায় বন্ধু থেকে প্রেম এবং শেষে বিয়ে। এটা একদম ই আলাদা ছিলো। ধন্যবাদ স্ক্রিপ্ট রাইটার কে।আর আমি তো নিশো ভাইয়ের পাগলা ফ্যান।সব মিলে ১০/১০ নাটকটি।",positive
 সত্যি অনেক দিন পরে এত সুন্দর একটা নাটক দেখলাম,positive
 অনেক ভালো একটা নাটক দেখে নিলাম....,positive
 অসাধারণ লাগলো নাটকটি তবে নামাজের অংশ টুকু ছিলো অসাধারণ,positive
" শুধু সুন্দর বললে ভুল হবে।এতই যে ভাল লেগেছে বলেও বুজাতে পারব না... অনেক, অনেক সুন্দর হয়েছে।  ধন্যবাদ অপূর্ব  ভাইয়া  আর মিথিলা আপুকে কে আর পরিচালক কে",positive
" অসাধারণ নাটক এগিয়ে যাও আফরান নিশো, আমরা আছি আপনার সাথে আপনার পাগল ভক্তরা। ধন্যবাদ মাবরুর রশীদ বান্নাহ  ভাই কে,,,,,,",positive
 অনেক ভালো হয়েছে।,positive
 দেখা শুরু করলাম মনে হয় ভালো হবে,positive
" ভালবাসার চাইতে বন্ধুত্ত বড়,,,,নামাজ মানুষকে ভাল রাখে এমনই মেসেস ছিল নাটকটিতে,,, অসাধারন",positive
ইতরামির একটা সীমা থাকে। মানুষের সময় নষ্ট করার কারো কোনো অধিকার নাই।,negative
 যত্তসব ফালতু নাটক। সালার গরের সালা গালি দিতে মন চায়না বাইনচুদ।,negative
 অসাধারণ গল্প আরিয়ান ভাইকে অনেক অনেক ধন্যবাদ,positive
 অনেক ভালো হয়েছে,positive
 অসাধারণ...! U r great...! #Omi vi.তবে নামাজের উপদেশ দেয়ার সময় বান্ধবির গায়ে থাপ্পর দেয়াটা বন্ধুসুলভ হলেও দৃষ্টিকটু।,positive
 ব্যাকগ্রাউন্ড মিউজিক সেই লেভেলের বাজে সাউন্ডটার ভলিউম কম হলে ভালো হত,negative
 নাটোক টা দেখে আমি ভাষা হারিয় ফেলেছি শেষ জীবনে কাছের মানুষ না থাকলে এমোন টাই হয়। খুব ভালো লাগলো দেখে চোখে জল চোলে আসলো ।।।।।।,positive
 সত্যি অসাধারন,positive
" জেরিন এর মত মেয়রা সুধু টাকাটাকেই চিনলো ভালোবাসা না,জেরিনের একটু সাপোর্টেই পারতো তাদের ভালোবাসাটা বেচেথাকতে,",positive
" অসাধারণ ,  বলার কিছুই নাই।",positive
 খুব ভালো লাগলো,positive
 অসাধারন!! লেগেছে।,positive
১২ মিনিট অবধি দেখেছি।জঘন্য বললে ভুল বলা হবে। আসলে কুৎসিত নাটক।ফিরিয়ে দে আমার ১২ মিনিট।এইসব বালছাল ক্যান যে বানায়।,negative
 সুন্দর হয়েছে,positive
 ঝাল খোর পান খোরের স্বাদ পাইলাম নাহ,negative
 আমাদের দেশে মানুষগুলোর সমস্যা হচ্ছে যখন যাকে ধরে তাঁকে নিয়ে নাচা নাচি করে ।এক সময় সবাই মোশাররফ করিম পাগল ছিল । এখন হইছে অপূর্ব নিশো পাগল ।তাই এটা ভালো লাগে না। মোশাররফ করিম অভিনয় পাল্টায় নাই ।মানুষের মন মানসিকতা পাল্টাইছে ।,negative
 অসম্ভব সুন্দর একটা লাভ স্টোরি নাটক অসাধারণ অভিনয় করেছেন আরফান নিশো + মেহজাবিন,positive
 অনেক অনেক ধন্যবাদ মিজানুর রহমান আরিয়ানকে এত সুন্দর নাটক উপহার দেওয়ার জন্ন,positive
 আমার দেখা সেরা নাটক  অনেক ভালো লাগলো।,positive
" গল্পটা অনেক ভাল লেগেছে।অভিনয় বা অন্যকিছু বিবেচনা করে নাই, শুধু গল্পটা দেখেই ভাল লেগেছে।ধন্যবাদ এমন একটা গল্প উপহার দেওয়ার জন্য।",positive
 best  Natok  তুমি আমারই,positive
বাংলাদেশের নাটক বড় ছেলে ও ব্যাচ ২৭ এই দুইটা নাটক আমার দেখা বেস্ট নাটক,positive
 সুন্দর হইছে,positive
 আহা! কি সুন্দর অভিনয় এর চেয়ে ন্যাচারাল অভিনয় আর কি হতে পারে। বাংলা নাটকের জয়জয়কার।।,positive
" i m indian . ""বড় ছেলে নাটকটা অসাধারণ হয়েছে। এই রকম নাটক দেখিনি",positive
"অসাধারণ ২ জন অভিনয় শিল্পী, আর সম্পূর্ণ একটা জীবন। ১টা রুম ব্যাবহার করে চমৎকার একটা নাটক; ডিরেক্টর খুবই রঙিন আঙিনায় বাস্তব কিছু চিত্রপট  দিয়ে নাটকটা দিয়েছে। যারা উল্টাপাল্টা  ভেবে দেখতে বসছে তাদের  MIND ঘুরে গেছে so sad। অসাধারণ ছিল নাটকটা Thank you রাইটার  Banna vi k",positive
শামিম ভাইয়ের কাছে এমন নাটক আশা করি নি!!,negative
বালের নাটক সব নাটক এ এক কাহিনি,negative
 সত্যি অসাধারণ।।।একদম বাস্তব জীবনের একটি চিত্র ফুটে উঠেছে ।।।।চোখের পানি ধরে রাখতে পারিনি,positive
 নাটকটা ভালো ছিল।,positive
 কবির সিং মুভির মতো লাগলো। শেষটা ভালো ছিল। ধন্যবাদ সবাইকে এত সুন্দর নাটক উপহার  দেওয়ার জন্য,positive
 ♪♪♪ অসাধারাণ অসাধারাণ  নাটক ♪♪♪ অপৃর্ব বেষ্ট ###তিশার অভিনয়  টা খুব খুব ভালো লাগলো ♪♪♪♪,positive
এই বালদা কে বানাইছে!,negative
 শেষ কথা গুলা অসাধারন ছিল।,positive
২ বার দেখসি নাটকটাখুব ভালোই লাগলো,positive
 অনেক ভালবাসা রইল। খুব ভাল,positive
 অসাধারণ নাটক,positive
 নাটকের মাধ্যমে একটা ভাল মেসেজ দিলো।ভালো লাহলো বিষয়টা।,positive
" Excellent .কাল্পনিক না বললেও হতো।মাশাল্লাহ - অনেক সুন্দর।প্রত্যেক couple & প্রেমিক যুগলকে দেখা Need Must Be..!!!তিশাকে Hijabe awesome লাগছে।এভাবেই সুন্দর, সুস্ত সংস্কৃতির প্রচার চাই।",positive
 অসাধারণ নাটক ভাই নামাজ কথা গুলি আরো সুন্দর করে দিলো,positive
 অপূর্বের শেষ পর্যন্ত নাটকটা এই বাসাতেই শুটিং হয়েছিলো... দুইটা নাটকই জোস হইসে,positive
" সুন্দর নাটক। এমন সুন্দর সুন্দর নাটক হতে থাকলে হয়ত অনেকেই বস্তাপচা সেইসব সিরিয়াল বিমুখ হবে আশা করা যায়। আর বিশেষ করে বলতে হয়, শেষের গানটির কথা ও। এক কথায় অপূর্ব। গানের গীতিকবি, সুরকার ও গায়ককে অনেক ধন্যবাদ। গানটি আলাদা করে পুরোটাই শোনার ব্যবস্থা করা যায় কিনা, সে ব্যাপারে সংশ্লিষ্টদের দৃষ্টি আকর্ষণ করছি।",positive
 সত্যিই  ভালো একটা  নাটক    I  Love  You  (),positive
বুকচুদ নাটক,negative
 আমার প্রিয় মানুষ টাও এমন অসাধারণ ইইছে দুজনের অভিনয়।,positive
 নাটক টা ভাল লাগলো ধন্যবাদ পরিচালক কে পাশাপাশি ধন্যবাদ যারা অভিনয় করেছে,positive
 অনেক অনেক  সুন্দর হয়ছি,positive
 অনেক দিন পরে তানজিন আপুর একটা ভালো নাটক পেলামনাটক দেখতে দেখতে পাগল হয়ে গেলাম....আমারও একটা গরিব আইডি আছে পারলে সাব দিও,positive
 পুরাই অস্থির,negative
 আরিয়ান তুমি কি ভাই! এতো সুন্দর নাটক কিভাবে তৈরি করেন? ভালোবাসা রহিলো হে পরিচালক,positive
" নাটকটা যে কতবার দেখেছি, তার কোন হিসাব নাই. One of the best নাটক of the year. তানজিন তিশার  অভিনয় অসাধারণ.",positive
 এত সুন্দর resort কোথায়? :p,positive
" এতটুকু সময়ের মধ্যে,একটা মানুষের অর্ধেকটা জীবন কাহিনী পুংখানুপুংখরূপে তুলে ধরার জন্য ধন্যবাদ (বান্নাহ ভাই)",positive
পতিতা মহিলাদের মতন পোশাক কেন,negative
 Sir আমি India থেকে. sir আমার কোন ভাষা নেই. খুব সুন্দর গল্প. Thanks Sir.,positive
 Nice nisho vai  শেষ টুকো সেই হয়ছে,positive
 খুব ভালো,positive
ইদানীং বাংলা নাটকের মান ক্রমশ নিম্নতর হয়েযাচ্ছে। নাটকের তেমন কোন স্টোরি কিংবা ভালোক্রিপ্ট কিছুই নেই। পরিচালরা কিছু সস্তা কমেডিসিন আর লুতুপুতু মার্কা প্রেম কাহিনী দেখিয়েদর্শকদের গেলানোর চেষ্টা করছেন। আর আশ্চর্যজনকব্যাপার হলো ইউটিউবে তা মিলিয়ন মিনিয়ন ভিউওহয়ে যায়। এ সব নাটকের মূল প্লট থাকে শহরে কোনভাবে দুইজন যুবক যুবতীর দেখা অতপর কিছু ঘুরাফিরাএদিকওদিক করে প্রেম পর্যন্ত গড়ানো। শেষে হয় কিমেয়ের ফ্যামিলি মেনে নেয় না কিংবা অন্যত্রেবিয়ে ঠিক এসব। নির্মাতারাও সার্থক কারন তারাএসব গিলিয়ে লভ্যাংশ উঠিয়ে নিচ্ছে। আর নাটকেরকাস্টিংও হয়ে গেছে জঘন্য। ঘুরে ফিরে এই ৪ জনঅভিনেতা (অপুর্বআফরান নিশো জোভানতৌসিফ)আর ৪ জন অভিনেত্রী (মেহজাবিন তানজিন তিশাসাবিলা নূর সাফা কবির) এদের ছাড়া আর কাউকেদেখাই যায় না। মাত্রারিক্ত কাজ দেখলেবিরক্তিকর লাগে। অপুর্বের বড় ছেলে নাটক হিটহওয়ার পর পরিচালকরা তাকে দিয়ে সেই বেকারযুবক আর মেহজাবিনকে দিয়ে কান্নার রোলগুলোসারিয়ে নেয়। অন্যদিনে জোভান তৌসিফেরএকঘেয়ে মার্কা এক্টিং তো আছেই। আফরান নিশোএকজন ভালো অভিনেতা কিন্তু তার অভিনীতনাটকগুলো মানহীন হয়ে যাচ্ছে। বিশেষ করে দুইএকটা কমেডি সিন ঢেলে দিয়ে নাটক বানিয়েফেলছে। যেমন একটা রেস্টুরেন্ট এর কমেডি সিনেহয়ে যাচ্ছে X GirlfriendX Boyfriend আবার এবার ইদেহাজির হচ্ছে X Wife নিয়ে। অভিনেত্রী বলতে গেলেতানজিন তিশা আর সাফা কবিরকে নিয়ে কিচ্ছুবলার নেই। সাবিলা নূর ইদানীং ন্যাকামো থেকেএকটু বেরিয়ে আসছে। যাই হোক পরিচালকরা কি নতুনকাওকে সুযোগ দিতে পারে না? নাকি এই ৮ জনেরবাইরে কারো অভিনয় যোগ্যতা নেই?,negative
 আমার দেখা প্রথম ভালোবাসা,positive
" আমার জীবনের সেস্ট্রো নাটক, খুব ভাল লাগলো , সাধারণত আমি কমেন্ট করিনা ।না করে থাকতে পারলামনা । থ্যাঙ্কস",positive
 তিশার অভিনয় সত্যিই দিনদিন নুসরাত ইমরোজ তিশার মতন মুগ্ধকর হচ্ছে।,positive
 আগের নটক গুলো মধ্যে  কিছু শিক্ষনিয় ব্যপার ছিল। কিন্তু এখন কি বাভে ভালোবাসার অপব্যবহার বেশি হছেছ।  নাটকের অবিনয় খুবই ভাল। আমি ছায় প্যমেলি নিয়ে  নাটক গুলো। এর মধ্যে  ভালোবাসা রাগ অবিমান সব কিছু  মিলেয়ে একটি ভালো মানের নাটক। সব শেষে নিসু তিসা অপূর্ব মেহেজাবিন এদের অবিনয় আমার কাছে খুবিই ভাল  লাগে,positive
" বিয়েটা নিশুর সাথে হলে অনেক ভালো হতো নাটকটা,,তারপর ও অনেক ভালো হইছে,,,,,সব থেকে বেশি ভালো লাগছে বন্ধুত্বের সম্পর্কটা,,,,,,",positive
" খুব সুন্দর নাটকটা, সেসের দিকে চোখের পানি এসে গেল/",positive
 এক কথায় অসাধারণ,positive
সাউয়ার অভিনয় করে,negative
" নাটক টা অসাধারণ,,,,,",positive
 দোয়া করি আরো ভাল ভাল নাটক আমাদের কে উপহার দিতে পারবেন ভাল থাকবেন শোভ কামনা,positive
 আসসালামু আলাইকুম..কন্সেপ্ট ভালো ছিলো..ইসলামকে রিপ্রেজেন্ট করা..তবে শুনতে খারাপ শুনা গেলেও এটা সত্য ইসলাম এতো সহজ বিষয় না..এখানে পর্দার উদ্দেশ্যে হিযাব পরিয়ে থাকলে বলতে চাই পর্দা মানে নিজের চুল কভার করা না..নিজেকেই আড়াল করে রাখা..নিজেকে সংরক্ষিত রাখা..হ্যাঁ ইসলামে এটাকেই পর্দা বলে এই নাটকের নায়িকা চরিত্রের এটা কে পর্দা বললে পর্দার অসম্মান আর ইসলামকে ভুলভাবে সবার সামনে উপস্থাপন করা ছাড়া আর কিছুই হবে না..একে তো ওড়না ঠিক নেই তারপর আবার এত্ত ডার্ক কাজল!!!...এটাই কি পর্দা??..ইসলাম কি এটাই শিখিয়েছে আমাদের???..,negative
" এক কথায় বলতে গেলে ""ফালতু""। কাহিনি সংলাপ দুইটা ই অনুপস্থিত।",negative
 এই কারনেই বাংলাদেশের নাটকের কোনো দাম নাই।কি বাজার করতে দিলো বাজার থেকে কি সবকিছু বেটে আনবে ফালতু।কোনো নাটক হইলো এটা??দেখে মেজাজটা খারাপ হয়ে গেলো,negative
 বালের একটা নাটক বানায়ছে,negative
 Acting Level দুইজনেই সেরা,positive
 আশা করি নাটক টি ভালোই হবে,positive
 খুব ভালো লাগলো,positive
সালার পুতেরা মনটাই কয় জুতা দিয়া পিটায়ে গল্প লেখা শিখায়,negative
এই নাটকে ডিসলাইক দেয়া প্রতিবন্ধী দের জদি ১বার দেখার সজুগ হইত,negative
বালের নাটক - এই সব নষ্টামি কোন মানেই হয় না,negative
 সেরা নাটক সেরা কাহিনী ওয়াও,positive
 এক কথা নাটক ভালো,positive
 আসাধারন ছিল,positive
 খুব ভালো লাগল,positive
" আরিয়ানের নাটক গুলা সত্যিই খুব ভাল হয়,,",positive
 সুপার হিট নাটক,positive
 অসাধারণ লাগলো,positive
" আলহামদুলিল্লাহ এই নাটকটা দেখে অনেক ভালো লাগলো ,, আশা করি এই ধরনের নাটক সামনে আরো দেখতে পারবো ইনশাআল্লাহ্",positive
১০ মিনিটের নাটকে ১০ বার বিজ্ঞাপন,negative
এটা নাটক....!!,negative
" আমি জানি না কোন ভাষায় আমার মনের কথা গুলো প্রকাশ করব,,, নাটকটি দেখার সময় এতো ইমোশনাল হয়ে পড়ছি যে চোখ দিয়ে পানি পড়তে শুরু করলো,,, পরিচালক আপনাকে ধন্যবাদ দিয়ে ছোট করতে চাইনা শুধু এটাই বলব,,,, আপনাদের জন্য বাংলাদেশ যাও এগিয়ে best of luck",positive
 ফালতু৷ নাটক,negative
 সেই সেই সুপার!অসম্ভব সুন্দর নাটক যা পূর্ণ দৈর্ঘ্য চলচিত্রকেউ হার মানায়!! তুমি হিরো আরিয়ান ভাই নিরান্তর শুভ কামনা.....অভিনেতাদের কেউ অনেক অনেক ধন্যবাদ এবং ভালোবাসা,positive
 অসাধারণ ভালো হয়ছে,positive
নাটকগুলি আর ভালো লাগে না_কোনো রস নাই আগে ভালো লাগতো_,negative
 এতো নোংরা ভাষায় নাটক না করলেই কি নয়!!,negative
এটা ২০১৯ সের সেরা নাটক হবে ইনশাআল্লাহ,positive
 নাটক টি আমার কাছে খুব ভাল লাগেছে আপনাদের যাদের ভাল লেগেছে লাইক কমেন্টস দিয়ে আশা করি অবশ্যই সাপোর্ট করবেন,positive
ওই শালারা বানচোদ এর জাতেরা তোদের খেয়ে দেয়ে কোন কাজ নাই যত্তসব ফালতু মানুষের মূল্যবান সময় নষ্ট করস,negative
 প্রতিটা নাটকে নামাজের ম্যাসেজ টা রাখলে ভালো হবে,positive
 অসাধারণ গল্পের তৈরি নাটকটী...।,positive
 আনেক ভাল লাগলো,positive
" অনেক ভালো লাগচে নাটকটা,,,বিশেষ করে নামাজ এর সিন গুলা,,,এই রকম নাটক ফিউসারে দেখতে চাই,,,",positive
 ভাল লাগার মত একটা নাটক,positive
 গল্পটা অনেক সুন্দর হয়েছে।,positive
এভাবে প্রতিটি শিল্পপতিদের ছেলেমেয়েরা যদি বেয়াদব হয়তা হলে ঐ সব ভদ্রলোক বাবা মা  ঠিক হয়ে যেতঐ টাকা কার জন্য নিশ্চয়ই তাদের ছেলেমেয়েদের জন্য আর ঐ ছেলে মেয়ে রা যদি প্রোটেষট করে বাবা মারা এত টাকা দিয়ে কি করবে??শুনো এনেক মধ্যবিত্ত রা খেতে পারেনাঐ উচ্চবিত্ত ভাইবোনেরা তোমরাপ্রতিবাদ কর করাপশান দূর করার জন্য ঘর থেকে প্রতিবাদ কর টাকাই সুখ নাএকদিন ঐ টাকা তোমাদের কাদাবেমধ্যবিত্ত ভাইরা সব সময় অন্যায়ের বিরুদ্ধে প্রতিবাদ করবাবড়লোকদের ঘরে ঘরে নিশো ভাইয়ের মতো বেয়াদব দেখতে চাই।বাননাহ ভাই ধন্যবাদ নাটকটির জন্য জয় বাংলা,positive
 এমন ফালতু নাটক আরফান নিশো ভাইয়ের কাছে আশা করি নাই। একদমই ফালতু।,negative
 সেই লেভেলের ফালতু নাটক,negative
 অসাধারণ নাটক,positive
 অনেক ভালো লাগলো। আল্লাহর কাছে প্রার্থনা করি আমি যেন নাটক এর স্বার্থপর চরিত্রের  মতো না হয়।,positive
 অসম্ভব ভালো একটা নাটক ছিল আমার দেখা স্রেষ্ঠ  একটা নাটক,positive
 অবিরাম ভালোবাসা প্রিয় তোমার প্রতি Afran Nisho,positive
 অসাধারণ নাটক।,positive
একধম ফালতু নাটক,negative
 তিথী অনেক ভালোবাশি,positive
 ফালতু নাটক,negative
 নাটক দেখে মজা লাগছে কিন্তু ad আসতে আসতে মজাটা শেষ করে দিছে!,positive
 এবারের এফিসোড একেবারে বাজে!,negative
 এই তিশা মা* সাবিলা নুরের চেয়েও ঢং চুদাই। অভিনয়ের বালডা পারে না পারে শুধু ন্যাকামি চুদাতে ।,negative
 so nice খুবই ভালো লাগছে  অপৃব তো অপৃবর মত হয়েছে,positive
 ওসাম নাটক,positive
 অ‌নেক  সুন্দার,positive
 {.. কুব কুব কুব বালয়ই লেগেছে আমার দোনো  পড়বয়  আরো আশা করী অনেক সুনদর নাটক উপবুগ করতে পাড়ি,positive
" কি অসাধারণ নাটক,  কান্না ধরে রাখা যায় না, ,,, আর এখন কিছু পরিচালক আছে সুদু অসলীল নাটক রচনা করে,,,,, আমরা সব সময় এই ধরনের সামাজিক নাটক চাই,,,, আপনারা কি বলেন সবাই",positive
 গালাগালি নস্টামি ঢুকিয়ে যুবক শ্রেনী কে খারাপ বানানোর ধান্ধা। এই নাটক যদি কোন ছোট ছেলে দেখে সে ভাবভে??কি শিখবে?প্রশ্ন রইলো জাতির সামনে।,negative
শালার ঘরের শালা সোনার নাটক বোনাস তরা তোদের মাথার ভিতরে গরুর গোবর আছে নাকি বালা জিনিস খাইতে পারস না,negative
 বাচ্চা কি সাথে সাথে দেয়া যাই,positive
 এটা অনেক কষ্টের আসলে মেয়েরা অনেক স্বার্থপর একটা মেয়ে পৃথিবীর সব কিছু বুঝতে পারে কিন্তু তার বেষ্ট ফ্রেন্ড যে তাকে পাগলের মত ভালোবাসে এটা সে বুঝতে পারে না  অথবা ইচ্ছে করেই বুঝতে চায় না । নিজের ভালোবাসার মানুষটিকে চোখের সামনে অন্যের হাতে তুলে দিতে হয় । সারা জীবন এ কষ্টটা মনের মধ্যে থাকে ।,negative
 অনেক নাটক দেখলাম এই রকম ফালতু নাটক দেখিনি,negative
" পুরো নাটকটা দেখলাম, সত্যিই বাস্তবতার সাথে পুরোপুরিই মিল রয়েছে, এবং চোখের পানি ধরে রাখতে পারলাম না। আমি ধন্যবাদ জানাই পরিচালককে এবং এ নাটকের সকল অভিনেতা ও অভিনেত্রীকে। এ নাটক সম্পর্কে মন্তব্য  লিখতে লিখতে ফোনের চার্জ শেষ হয়ে যাবে কিন্তু মন্তব্য লিখা শেষ হবে না। সত্যিই অনেক সুন্দর একটি নাটক। মিনিটে প্রায় পুরো জীবনের কাহিনী তুলে ধরা হয়েছে। ধন্যবাদ।।th September .",positive
 রাত জেগে দেখলাম নাটকটা।রাত জাগা নিয়ে আফসোস নেই।চমৎকার ছিল।।।।,positive
 খুব ভালো লাগলো,positive
 মিজানুর রহমান আরিয়ান ভাই ধন্যবাদ।।।।।অপূর্ব তো সব সময় অপূর্ব  মেহজাবীন love you,positive
ভোদার নাটক,negative
 কিছু লিখতে চাই আর বলতে চাই।।ভালবাসা এমনই।।তবে নাটকটা ভাল খুব ভাল হয়েছে।।অসাধারণ অভিনয় নিশো ভাই এবং মেহজাবিন আপু।।ভালবাসি তোমাদের।।মিজান ভাই ধন্যবাদ আপনাকেও।।,positive
 অসাধারণ নাটক অপূর্ব ভাই মন ভরে গেলো  ধন্যবাদ পরিচালক কে,positive
 অপুর্ব মানেই অপুর্ব,positive
"৩০ মিনিটে এসে আর মজা টা রইলো না....বাকিটা কি হবে কে জানে,Watching....",positive
 ফালতু নাটক,negative
" অপুর্ব মাই বেষ্ট আ্যকটোর,,,,অনেক ভালো লাগলো,,,তবে ভালোবাসি কথাটা একবারো কেউ বললো না",positive
